slot,message_theme,theme_plain_english,source_layer,unit,anomaly_score,metric_snapshot,context_family,context_label,split_family,split_label,role_segment,pitch_role
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:day:0,1.5551657824933687,OPS=0.584;OBP=0.276;K%=0.207;PA=87,,,day,0,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:after_count:after_0B_0S,1.5512008743093562,OPS=0.68;OBP=0.323;K%=0.18;PA=518,,,after_count,after_0B_0S,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:score_context:within_one_run,1.5510912698412698,OPS=0.68;OBP=0.33;K%=0.205;PA=224,,,score_context,within_one_run,OF_lower_or_mixed_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:inning_context:innings_4_6,1.5501463607594936,OPS=0.595;OBP=0.329;K%=0.38;PA=79,,,inning_context,innings_4_6,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:score_context:within_three_run,1.5478609625668447,OPS=0.681;OBP=0.321;K%=0.213;PA=375,,,score_context,within_three_run,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_runway_context,OF_high_leverage_usage:risp,1.5410914927768857,OPS=0.879;OBP=0.367;GDP/PA=0.034;PA=89,,,,risp,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:score_context:within_four_run,1.5409144642978463,OPS=0.684;OBP=0.32;K%=0.204;PA=411,,,score_context,within_four_run,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:score_context:within_three_run,1.5405633802816905,OPS=0.712;OBP=0.31;K%=0.189;PA=212,,,score_context,within_three_run,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:runner_context:no_runner,1.53,OPS=0.779;OBP=0.312;K%=0.172;PA=128,,,runner_context,no_runner,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:inning_context:innings_4_6,1.529597760729836,OPS=0.688;OBP=0.33;K%=0.148;PA=182,,,inning_context,innings_4_6,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:inning_context:innings_7_9,1.5200960951799878,OPS=0.692;OBP=0.33;K%=0.153;PA=176,,,inning_context,innings_7_9,OF_lower_or_mixed_usage,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,role_split_context,OF_lower_or_mixed_usage:runner_context:on_first,1.5157445421961553,OPS=0.637;OBP=0.293;K%=0.15;PA=100,,,runner_context,on_first,OF_lower_or_mixed_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:after_count:after_2B_1S,1.515386597938144,OPS=0.736;OBP=0.423;K%=0.381;PA=97,,,after_count,after_2B_1S,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:score_context:within_four_run,1.5141772151898736,OPS=0.716;OBP=0.316;K%=0.182;PA=236,,,score_context,within_four_run,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:month:month4,1.5130549490538572,OPS=0.695;OBP=0.341;K%=0.191;PA=230,,,month,month4,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:location:Away,1.5129533496029,OPS=0.695;OBP=0.334;K%=0.167;PA=288,,,location,Away,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:runner_context:no_runner,1.5075757575757573,OPS=0.697;OBP=0.333;K%=0.199;PA=276,,,runner_context,no_runner,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:score_context:tied_game,1.5063647515845433,OPS=0.575;OBP=0.247;K%=0.222;PA=72,,,score_context,tied_game,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:after_count:after_0B_0S,1.5059259259259261,OPS=0.739;OBP=0.319;K%=0.175;PA=269,,,after_count,after_0B_0S,OF_high_leverage_usage,
foreign_hitter,two_strike_survival_bat,reduce replacement-slot collapse after two strikes,role_split_context,OF_high_leverage_usage:after_count:after_2B_2S,1.501720619282196,OPS=0.538;OBP=0.293;K%=0.362;PA=58,,,after_count,after_2B_2S,OF_high_leverage_usage,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,role_split_context,OF_high_leverage_usage:runner_context:runner_on_base,1.5001408450704223,OPS=0.7;OBP=0.324;K%=0.177;PA=141,,,runner_context,runner_on_base,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:pitcher_type:vs_left_orthdodx,1.5,OPS=0.759;OBP=0.325;K%=0.198;PA=126,,,pitcher_type,vs_left_orthdodx,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:pitcher_type:vs_left,1.5,OPS=0.759;OBP=0.325;K%=0.198;PA=126,,,pitcher_type,vs_left,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:after_count:after_1B_0S,1.5,OPS=0.726;OBP=0.337;K%=0.197;PA=183,,,after_count,after_1B_0S,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:after_count:after_2B_0S,1.5,OPS=0.765;OBP=0.441;K%=0.152;PA=204,,,after_count,after_2B_0S,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:after_count:after_1B_0S,1.5,OPS=0.721;OBP=0.357;K%=0.196;PA=373,,,after_count,after_1B_0S,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:after_count:after_2B_1S,1.5,OPS=0.727;OBP=0.407;K%=0.17;PA=182,,,after_count,after_2B_1S,OF_lower_or_mixed_usage,
foreign_hitter,two_strike_survival_bat,reduce replacement-slot collapse after two strikes,role_split_context,OF_lower_or_mixed_usage:after_count:after_2B_2S,1.5,OPS=0.786;OBP=0.407;K%=0.23;PA=135,,,after_count,after_2B_2S,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:location:Away,1.5,OPS=0.793;OBP=0.345;K%=0.151;PA=139,,,location,Away,OF_high_leverage_usage,
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,role_split_context,DH_primary_or_bridge:inning_context:innings_1_3,1.4418589743589743,OPS=0.57;OBP=0.293;K%=0.267;PA=75,,,inning_context,innings_1_3,DH_primary_or_bridge,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:score_context:more_five_run,1.4417808035234718,OPS=0.658;OBP=0.336;K%=0.084;PA=107,,,score_context,more_five_run,OF_lower_or_mixed_usage,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,role_split_context,OF_lower_or_mixed_usage:runner_context:lt2_out_on_first,1.4311363636363637,OPS=0.705;OBP=0.309;K%=0.135;PA=111,,,runner_context,lt2_out_on_first,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:month:month5,1.425,OPS=0.75;OBP=0.36;K%=0.149;PA=114,,,month,month5,OF_high_leverage_usage,
