role_model_family,signal_type,rule,target,support_rows,total_role_rows,support_share,target_rate_inside_rule,role_base_target_rate,rate_delta_vs_role_base,lift_vs_role_base,permutation_p_value,semantic_alignment,rule_gate,rule_stability_score,rule_stability_tier,candidate_release_allowed,release_policy
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,failure,9,22,0.4090909090909091,0.1111111111111111,0.3636363636363636,-0.2525252525252525,0.3055555555555555,0.06187624750499,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,66.7056190649005,promote_to_candidate_proxy,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,in_season_replaced,9,22,0.4090909090909091,0.0,0.2272727272727272,-0.2272727272727272,0.0,0.0499001996007984,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,64.47976773725276,promote_to_candidate_proxy,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,failure,8,22,0.3636363636363636,0.125,0.3636363636363636,-0.2386363636363636,0.34375,0.1457085828343313,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,61.22092179277808,promote_to_candidate_proxy,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,in_season_replaced,8,22,0.3636363636363636,0.0,0.2272727272727272,-0.2272727272727272,0.0,0.1097804391217564,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,60.982761749228814,promote_to_candidate_proxy,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,failure,5,22,0.2272727272727272,0.0,0.3636363636363636,-0.3636363636363636,0.0,0.1077844311377245,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,68.66902558519325,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,failure,5,22,0.2272727272727272,0.0,0.3636363636363636,-0.3636363636363636,0.0,0.1317365269461078,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,68.07022318998366,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,strong_success,5,22,0.2272727272727272,0.0,0.3181818181818182,-0.3181818181818182,0.0,0.1217564870259481,semantically_aligned,promote_as_research_archetype_signal,63.77426964253311,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=low_bottom_tercile,strong_success,7,22,0.3181818181818182,0.5714285714285714,0.3181818181818182,0.2532467532467532,1.7959183673469388,0.1816367265469061,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,59.78375716100267,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,failure,7,22,0.3181818181818182,0.1428571428571428,0.3636363636363636,-0.2207792207792208,0.3928571428571428,0.1676646706586826,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,56.88630531145502,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,success,9,22,0.4090909090909091,0.7777777777777778,0.5909090909090909,0.1868686868686868,1.3162393162393162,0.2195608782435129,counterintuitive_or_negative_control,watch_small_sample_signal,56.19784673078085,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=high_top_tercile,performance_exit_flag,7,22,0.3181818181818182,0.2857142857142857,0.0909090909090909,0.1948051948051948,3.142857142857143,0.0978043912175648,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,56.03540970008036,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,performance_exit_flag,7,22,0.3181818181818182,0.2857142857142857,0.0909090909090909,0.1948051948051948,3.142857142857143,0.0998003992015968,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,55.98550950047955,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.4285714285714285,0.2272727272727272,0.2012987012987012,1.8857142857142857,0.279441117764471,counterintuitive_or_negative_control,watch_small_sample_signal,52.143842185758345,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.4285714285714285,0.2272727272727272,0.2012987012987012,1.8857142857142857,0.313373253493014,counterintuitive_or_negative_control,watch_small_sample_signal,51.29553879254477,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,in_season_replaced,5,22,0.2272727272727272,0.0,0.2272727272727272,-0.2272727272727272,0.0,0.2834331337325349,counterintuitive_or_negative_control,watch_small_sample_signal,50.641444383959346,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,in_season_replaced,5,22,0.2272727272727272,0.0,0.2272727272727272,-0.2272727272727272,0.0,0.2894211576846307,counterintuitive_or_negative_control,watch_small_sample_signal,50.491743785156956,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,success,8,22,0.3636363636363636,0.75,0.5909090909090909,0.159090909090909,1.2692307692307692,0.3293413173652694,counterintuitive_or_negative_control,watch_small_sample_signal,48.67555797495916,research_support_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,strong_success,4,22,0.1818181818181818,0.75,0.3181818181818182,0.4318181818181818,2.357142857142857,0.0818363273453093,counterintuitive_or_negative_control,watch_small_sample_signal,74.13590999818544,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,performance_exit_flag,4,22,0.1818181818181818,0.5,0.0909090909090909,0.409090909090909,5.5,0.0379241516966067,counterintuitive_or_negative_control,watch_small_sample_signal,72.96098711667574,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,success,4,22,0.1818181818181818,1.0,0.5909090909090909,0.409090909090909,1.6923076923076923,0.1297405189620758,counterintuitive_or_negative_control,watch_small_sample_signal,70.66557793503901,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,failure,4,22,0.1818181818181818,0.0,0.3636363636363636,-0.3636363636363636,0.0,0.2295409181636726,counterintuitive_or_negative_control,watch_small_sample_signal,63.62511340954454,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,failure,4,22,0.1818181818181818,0.0,0.3636363636363636,-0.3636363636363636,0.0,0.2554890219560878,counterintuitive_or_negative_control,watch_small_sample_signal,62.976410814734166,thin_watch_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
