validation_scheme,feature_family,role_model_family,target,model,folds,source_rows,total_valid_rows,mean_feature_count,median_feature_count,mean_auc,mean_brier,mean_logloss,mean_precision_top_25pct,mean_precision_top_33pct,role_prior_mean_brier,role_prior_precision_top_25pct,role_prior_precision_top_33pct,brier_lift_vs_role_prior,top25_precision_lift_vs_role_prior,top33_precision_lift_vs_role_prior,promotion_status
repeated_stratified_cv,recent_track_continuity,hitter,success,balanced_ridge_logit,90,22,660,5.0,5.0,0.5172222222222222,0.277687093821226,0.7715190122622614,0.5611111111111111,0.5703703703703703,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.03479593735864098,-0.09444444444444444,-0.033333333333333326,do_not_promote
repeated_stratified_cv,milb_damage_command,hitter,success,ridge_logit,90,22,660,7.0,7.0,0.5452777777777779,0.28734325345772577,0.8439495074992261,0.7333333333333333,0.6407407407407407,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.044452096995140716,0.07777777777777772,0.03703703703703709,do_not_promote
repeated_stratified_cv,milb_damage_command,hitter,success,balanced_ridge_logit,90,22,660,7.0,7.0,0.545462962962963,0.2909517845365698,0.8613466406659898,0.7333333333333333,0.6518518518518518,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.04806062807398473,0.07777777777777772,0.04814814814814816,do_not_promote
repeated_stratified_cv,milb_level_role,hitter,success,ridge_logit,90,22,660,5.933333333333334,6.0,0.4675925925925926,0.29734415727987845,0.8454550348571529,0.5,0.5444444444444444,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.0544530008172934,-0.15555555555555556,-0.059259259259259234,do_not_promote
repeated_stratified_cv,milb_level_role,hitter,success,balanced_ridge_logit,90,22,660,5.933333333333334,6.0,0.47185185185185186,0.30166058535669393,0.854866229854686,0.5111111111111111,0.548148148148148,0.24289115646258505,0.6555555555555556,0.6037037037037036,-0.05876942889410888,-0.1444444444444445,-0.05555555555555558,do_not_promote
repeated_stratified_cv,savant_only,hitter,success,ridge_logit,90,22,660,17.955555555555556,18.0,0.8331481481481482,0.16978635029478473,0.516208329717552,0.8777777777777778,0.8407407407407408,0.24289115646258505,0.6555555555555556,0.6037037037037036,0.07310480616780032,0.2222222222222222,0.23703703703703716,pilot_promote
repeated_stratified_cv,savant_only,hitter,success,balanced_ridge_logit,90,22,660,17.955555555555556,18.0,0.8312962962962964,0.17354509201159046,0.5193575712440827,0.8777777777777778,0.8407407407407408,0.24289115646258505,0.6555555555555556,0.6037037037037036,0.06934606445099459,0.2222222222222222,0.23703703703703716,pilot_promote
repeated_stratified_cv,compact_mixed,hitter,success,balanced_ridge_logit,90,22,660,9.955555555555556,10.0,0.7037962962962964,0.24281468131925107,0.7565207184676327,0.8333333333333334,0.7703703703703704,0.24289115646258505,0.6555555555555556,0.6037037037037036,7.647514333397609e-05,0.1777777777777778,0.16666666666666674,watch
repeated_stratified_cv,compact_mixed,hitter,success,ridge_logit,90,22,660,9.955555555555556,10.0,0.7035185185185185,0.24283463299078395,0.7503758028335429,0.8277777777777777,0.7703703703703704,0.24289115646258505,0.6555555555555556,0.6037037037037036,5.6523471801100955e-05,0.17222222222222217,0.16666666666666674,watch
repeated_stratified_cv,compact_mixed,pitcher,failure,role_prior,90,49,1470,9.0,9.0,0.5,0.2451386216217433,0.6833975548353348,0.49166666666666664,0.5037037037037037,0.2451386216217433,0.49166666666666664,0.5037037037037037,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_damage_command,pitcher,failure,role_prior,90,49,1470,8.0,8.0,0.5,0.2451386216217433,0.6833975548353348,0.49166666666666664,0.5037037037037037,0.2451386216217433,0.49166666666666664,0.5037037037037037,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_level_role,pitcher,failure,role_prior,90,49,1470,8.0,8.0,0.5,0.2451386216217433,0.6833975548353348,0.49166666666666664,0.5037037037037037,0.2451386216217433,0.49166666666666664,0.5037037037037037,0.0,0.0,0.0,baseline
