query_p_no,p_name,role_segment,split_family,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa,context_need_score
13128,최준우,OF_lower_or_mixed_usage,terminal_count,3B_2S,ballCount/0/3B_2S,1,10,6,4,1,0,0,0,1,0,4,0,3,0,0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.0,0.4,0.3,0.0,0.0,0.6099999999999999
10815,한유섬,OF_lower_or_mixed_usage,terminal_count,3B_2S,ballCount/0/3B_2S,1,15,5,2,0,0,0,0,0,0,10,0,3,0,0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.2,0.0,0.0,0.5666666666666667
13128,최준우,OF_lower_or_mixed_usage,score_context,within_one_run,situation/2/within_one_run,1,16,12,3,3,1,0,0,4,0,4,0,3,0,0,0.0,0.25,0.4375,0.3333333333333333,0.7708333333333333,0.08333333333333331,0.25,0.1875,0.0,0.0,0.5333333333333333
13128,최준우,OF_lower_or_mixed_usage,location,Away,location/Away,1,15,12,4,4,0,0,0,4,0,3,0,1,0,0,0.0,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.8,0.0,0.2,0.06666666666666667,0.0,0.0,0.5
11153,김성욱,OF_lower_or_mixed_usage,score_context,tied_game,situation/1/tied_game,1,13,11,3,4,0,0,0,4,1,2,0,3,0,0,0.0,0.36363636363636365,0.46153846153846156,0.36363636363636365,0.8251748251748252,0.0,0.15384615384615385,0.23076923076923078,0.0,0.07692307692307693,0.4356410256410257
11153,김성욱,OF_lower_or_mixed_usage,terminal_count,2B_2S,ballCount/0/2B_2S,1,7,7,1,4,0,0,1,7,2,0,0,2,0,0,0.0,0.5714285714285714,0.5714285714285714,1.0,1.5714285714285714,0.4285714285714286,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.40047619047619043
14153,채현우,OF_lower_or_mixed_usage,runner_context,risp,runner/7/risp,1,12,10,4,5,1,0,1,9,6,0,0,0,0,2,0.0,0.5,0.4166666666666667,0.9,1.3166666666666667,0.4,0.0,0.0,0.08333333333333333,0.5,0.4
10643,김재환,DH_primary_or_bridge,terminal_count,3B_1S,ballCount/0/3B_1S,1,11,1,2,1,0,0,1,4,2,10,0,0,0,0,0.0,1.0,1.0,4.0,5.0,3.0,0.9090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.36666666666666664
10815,한유섬,OF_lower_or_mixed_usage,terminal_count,3B_1S,ballCount/0/3B_1S,1,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.3666666666666666
11153,김성욱,OF_lower_or_mixed_usage,terminal_count,3B_2S,ballCount/0/3B_2S,1,9,3,4,2,0,0,0,2,0,6,0,0,0,0,0.0,0.6666666666666666,0.8888888888888888,0.6666666666666666,1.5555555555555554,0.0,0.6666666666666666,0.0,0.0,0.0,0.3
15530,에레디아,OF_high_leverage_usage,terminal_count,3B_1S,ballCount/0/3B_1S,1,9,5,0,2,0,0,0,2,1,5,0,0,1,0,0.0,0.4,0.7,0.4,1.1,0.0,0.5555555555555556,0.0,0.0,0.1111111111111111,0.3
14153,채현우,OF_lower_or_mixed_usage,location,Home,location/Home,1,8,8,4,4,1,0,0,5,1,0,0,1,0,0,1.0,0.5,0.5,0.625,1.125,0.125,0.0,0.125,0.0,0.125,0.26666666666666666
15530,에레디아,OF_high_leverage_usage,terminal_count,2B_0S,ballCount/0/2B_0S,1,8,8,3,5,3,0,0,8,1,0,0,0,0,0,0.0,0.625,0.625,1.0,1.625,0.375,0.0,0.0,0.0,0.125,0.26666666666666666
10643,김재환,DH_primary_or_bridge,terminal_count,3B_0S,ballCount/0/3B_0S,1,7,1,1,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0,0.0,0.23333333333333334
13128,최준우,OF_lower_or_mixed_usage,score_context,tied_game,situation/1/tied_game,1,7,6,1,3,1,0,0,4,0,1,0,1,0,0,0.0,0.5,0.5714285714285714,0.6666666666666666,1.2380952380952381,0.16666666666666663,0.14285714285714285,0.14285714285714285,0.0,0.0,0.23333333333333334
13128,최준우,OF_lower_or_mixed_usage,terminal_count,1B_2S,ballCount/0/1B_2S,1,6,6,1,3,0,0,0,3,0,0,0,1,0,0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.2
15530,에레디아,OF_high_leverage_usage,pitcher_type,vs_right_under,type/1/vs_right_under,1,6,4,0,1,0,0,0,1,0,1,1,1,0,0,0.0,0.25,0.5,0.25,0.75,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2
10815,한유섬,OF_lower_or_mixed_usage,terminal_count,3B_0S,ballCount/0/3B_0S,1,5,0,0,0,0,0,0,0,1,5,0,0,0,0,0.0,,1.0,,,,1.0,0.0,0.0,0.2,
14587,최지훈,OF_lower_or_mixed_usage,terminal_count,3B_0S,ballCount/0/3B_0S,1,5,0,2,0,0,0,0,0,0,5,0,0,0,0,0.0,,1.0,,,,1.0,0.0,0.0,0.0,
