candidate_key,candidate_news_scope,fit_slot,player_id,player_name,search_name,team_or_org,position_or_role,market_realism_status,contract_control_bucket,medical_risk_bucket,market_realism_fit_blend_for_triage_only,person_url,source_url
266dcf1c8ea0bbbd,run029_naver_news_collection,foreign_hitter,664059.0,sam haggerty,sam haggerty,,OF/DH candidate pool,manual_contact_priority_locked,recent_free_agent_or_released_high_access,medical_history_watch,76.058,,
87e2ce08bfcae78b,run029_naver_news_collection,foreign_hitter,640492.0,josé azócar,josé azócar,ATL,OF/DH candidate pool,manual_contact_priority_locked,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,72.044,,
b9ff876bb5e6dbe0,run029_naver_news_collection,foreign_hitter,669369.0,bryce johnson,bryce johnson,SD,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,71.986,,
4c8a666a603c3ccb,run029_naver_news_collection,foreign_hitter,605244.0,aramis garcia,aramis garcia,AZ,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,71.076,,
95fd4d0314e9a748,run029_naver_news_collection,foreign_hitter,596103.0,austin slater,austin slater,TB,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,69.949,,
c6ee2f0513fbda49,run029_naver_news_collection,foreign_hitter,671655.0,george valera,george valera,CLE,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,medical_history_watch,69.347,,
b300d75c1af24722,run029_naver_news_collection,foreign_hitter,506702.0,sandy león,sandy león,ATL,OF/DH candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,67.354,,
867a6f5b885f375b,run029_naver_news_collection,foreign_hitter,664731.0,p. j. higgins,p. j. higgins,CIN,OF/DH candidate pool,manual_contact_priority_locked,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,59.666,,
7a55953cea7bee47,run029_naver_news_collection,foreign_pitcher,684320.0,"Rodríguez, Yariel",Yariel Rodríguez,TOR,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,89.645,,
eeba3c1f9f7fe331,run029_naver_news_collection,foreign_pitcher,663559.0,"Falter, Bailey",Bailey Falter,KC,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,medical_history_watch,89.069,,
e910355ba4060585,run029_naver_news_collection,foreign_pitcher,682445.0,"Gonzalez, Domingo",Domingo Gonzalez,SEA,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,88.399,,
20117bc6ab3ab515,run029_naver_news_collection,foreign_pitcher,624522.0,"Thompson, Keegan",Keegan Thompson,COL,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,86.373,,
e8de2782bd57a2e1,run029_naver_news_collection,foreign_pitcher,663967.0,"Salazar, César",César Salazar,HOU,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,83.684,,
e432b835b58b25d4,run029_naver_news_collection,foreign_pitcher,608723.0,"Voth, Austin",Austin Voth,MIN,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_free_agent_or_released_high_access,no_public_medical_signal_from_roster_transactions,83.499,,
