locked_fit_id,fit_slot,source_pool,position_or_role_bucket,failure_risk_band_v0_3,source_gap_band,translation_uncertainty_policy,medical_risk_bucket,contract_control_bucket,manual_review_tier_v0_3,candidate_release_allowed,score_release_allowed,rank_release_allowed,shortlist_label_allowed,is_final_recommendation,release_policy
LOCKED-AQ-V03-ECEC35FD9B22,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-ED91546B1A5F,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-043AFC7493A8,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-74030DF96C2D,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-6D77B9157670,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-4FCC507F5338,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-518B7BBACB8C,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-425C2A879661,asian_quota,,Right-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-5678364B8E1A,asian_quota,,Right-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-EB9C52B43619,asian_quota,,Second-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-734771A694BE,asian_quota,,Shortstop,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-A018AD1CF1B3,asian_quota,,Shortstop,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
