source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,person_url,source_url,source_confidence
NPB,g,Yomiuri Giants,8,"Maru, Yoshihiro",yoshihiro maru,Outfielders,Outfielder,"Apr. 11, 1989",177,94,R,L,,https://npb.jp/bis/eng/players/21425116.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,9,"Matsumoto, Go",go matsumoto,Outfielders,Outfielder,"Aug. 11, 1993",180,83,R,R,,https://npb.jp/bis/eng/players/21625135.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,39,"Minakawa, Gakuto",gakuto minakawa,Outfielders,Outfielder,"Apr. 30, 2003",182,88,R,L,,https://npb.jp/bis/eng/players/33135152.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,96,"Mitsuka, Rui",rui mitsuka,Outfielders,Outfielder,"May 10, 2004",182,93,L,L,,https://npb.jp/bis/eng/players/13115157.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,40,"Nakayama, Raito",raito nakayama,Outfielders,Outfielder,"Apr. 12, 2002",182,90,R,L,,https://npb.jp/bis/eng/players/51655153.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,38,"Okada, Yuki",yuki okada,Outfielders,Outfielder,"Jan. 19, 2000",184,86,R,L,,https://npb.jp/bis/eng/players/81385155.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,44,"Sasaki, Shunsuke",shunsuke sasaki,Outfielders,Outfielder,"Nov. 6, 1999",174,80,R,L,,https://npb.jp/bis/eng/players/51955159.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,50,"Tima, Julian",julian tima,Outfielders,Outfielder,"Sep. 25, 2004",194,106,R,R,Registered(developmental player ->) (May 25).,https://npb.jp/bis/eng/players/13015153.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,59,"Wakabayashi, Gakuto",gakuto wakabayashi,Outfielders,Outfielder,"Apr. 13, 1998",178,83,R,R,,https://npb.jp/bis/eng/players/53555153.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,t,Hanshin Tigers,98,"Dolis, Rafael",rafael dolis,Pitchers,Pitcher,"Jan. 10, 1988",196,106,R,R,,https://npb.jp/bis/eng/players/03505132.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,36,"Hatake, Seishu",seishu hatake,Pitchers,Pitcher,"May 31, 1994",186,94,R,L,,https://npb.jp/bis/eng/players/31635134.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,51,"Hayakawa, Daiki",daiki hayakawa,Pitchers,Pitcher,"Dec. 18, 1999",186,93,R,R,,https://npb.jp/bis/eng/players/57955159.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,44,"Hayase, Saku",saku hayase,Pitchers,Pitcher,"Aug. 30, 2007",185,79,R,L,,https://npb.jp/bis/eng/players/31635152.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,48,"Ibaragi, Hidetoshi",hidetoshi ibaragi,Pitchers,Pitcher,"Jun. 8, 2004",183,87,R,R,,https://npb.jp/bis/eng/players/81185157.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,18,"Ihara, Takato",takato ihara,Pitchers,Pitcher,"Aug. 7, 2000",170,75,L,L,,https://npb.jp/bis/eng/players/71375150.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,63,"Ishiguro, Yuya",yuya ishiguro,Pitchers,Pitcher,"Jun. 20, 2001",180,86,R,R,,https://npb.jp/bis/eng/players/01105159.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,69,"Ishii, Daichi",daichi ishii,Pitchers,Pitcher,"Jul. 29, 1997",175,79,R,R,,https://npb.jp/bis/eng/players/41145153.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,27,"Itoh, Masashi",masashi itoh,Pitchers,Pitcher,"May 8, 1996",179,83,L,L,,https://npb.jp/bis/eng/players/71375153.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,14,"Iwasada, Yuta",yuta iwasada,Pitchers,Pitcher,"Sep. 5, 1991",183,86,L,L,,https://npb.jp/bis/eng/players/51355139.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,13,"Iwazaki, Suguru",suguru iwazaki,Pitchers,Pitcher,"Jun. 19, 1991",185,92,L,L,,https://npb.jp/bis/eng/players/31335139.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,28,"Kesamaru, Yuki",yuki kesamaru,Pitchers,Pitcher,"Jun. 2, 2006",188,75,R,R,,https://npb.jp/bis/eng/players/31935150.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,54,"Kinoshita, Rito",rito kinoshita,Pitchers,Pitcher,"Jan. 27, 2001",183,89,R,R,,https://npb.jp/bis/eng/players/41745150.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,47,"Kirishiki, Takuma",takuma kirishiki,Pitchers,Pitcher,"Jun. 20, 1999",179,92,L,L,,https://npb.jp/bis/eng/players/01705155.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,49,"Kudo, Taisei",taisei kudo,Pitchers,Pitcher,"Nov. 19, 2001",177,82,R,L,,https://npb.jp/bis/eng/players/81785150.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,42,"Lucas, Easton",easton lucas,Pitchers,Pitcher,"Sep. 23, 1996",191,94,L,L,,https://npb.jp/bis/eng/players/73975152.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,30,"Mombetsu, Keito",keito mombetsu,Pitchers,Pitcher,"Jul. 10, 2004",183,86,L,L,,https://npb.jp/bis/eng/players/53355157.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,99,"Moreta, Dauri",dauri moreta,Pitchers,Pitcher,"Apr. 15, 1996",188,102,R,R,,https://npb.jp/bis/eng/players/03705152.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,41,"Murakami, Shoki",shoki murakami,Pitchers,Pitcher,"Jun. 25, 1998",175,84,R,L,,https://npb.jp/bis/eng/players/13315153.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,16,"Nishi, Yuki",yuki nishi,Pitchers,Pitcher,"Nov. 10, 1990",181,83,R,R,,https://npb.jp/bis/eng/players/71275118.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,55,"Noto, Syuto",syuto noto,Pitchers,Pitcher,"Sep. 29, 2001",184,88,R,R,,https://npb.jp/bis/eng/players/17915159.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,21,"Ohtake, Koutaro",koutaro ohtake,Pitchers,Pitcher,"Jun. 29, 1995",184,87,L,L,,https://npb.jp/bis/eng/players/41345136.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,64,"Okadome, Hidetaka",hidetaka okadome,Pitchers,Pitcher,"Nov. 7, 1999",181,96,R,R,,https://npb.jp/bis/eng/players/11515155.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,37,"Oyokawa, Masaki",masaki oyokawa,Pitchers,Pitcher,"Apr. 18, 2001",184,86,L,L,,https://npb.jp/bis/eng/players/91795151.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,46,"Ragsdale, Carson",carson ragsdale,Pitchers,Pitcher,"May 25, 1998",203,106,R,R,,https://npb.jp/bis/eng/players/63765152.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,35,"Saiki, Hiroto",hiroto saiki,Pitchers,Pitcher,"Nov. 7, 1998",189,90,R,R,,https://npb.jp/bis/eng/players/41745134.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,26,"Shiiba, Tsuyoshi",tsuyoshi shiiba,Pitchers,Pitcher,"Mar. 18, 2002",183,92,R,R,,https://npb.jp/bis/eng/players/21925159.html,https://npb.jp/bis/eng/teams/rst_t.html,4
NPB,t,Hanshin Tigers,19,"Shimomura, Kaito",kaito shimomura,Pitchers,Pitcher,"Mar. 27, 2002",174,70,R,R,,https://npb.jp/bis/eng/players/61965159.html,https://npb.jp/bis/eng/teams/rst_t.html,4
