Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,raw_player_name,player_name,npb_left_marker,normalized_player_name,source_league,npb_league,team_code,team_name,level,stat_type,source_url,source_confidence,ops,iso,bb_pct,so_pct,hr_per_pa,sb_attempts,sb_success_pct,run_kill_proxy,regular_playing_time_flag,Pitcher,W,L,SV,HLD,CG,SHO,NWG,PCT,BF,IP,HB,WP,BK,ER,ERA,ip_float,whip_calc,k_pct,k_minus_bb_pct,k_per_9,bb_per_9,hr_per_9,starter_workload_proxy,traffic_command_proxy
"*Nakagawa, Kota",21,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"*Nakagawa, Kota","Nakagawa, Kota",True,kota nakagawa,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Nakayama, Raito",30,87.0,78.0,3,14,5.0,0.0,0,19.0,6.0,1.0,0.0,0.0,1.0,8,0,0.0,14,1.0,0.179,0.244,0.253,"*Nakayama, Raito","Nakayama, Raito",True,raito nakayama,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.497,0.065,0.09195402298850575,0.16091954022988506,0.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Nishidate, Yuhi",2,2.0,2.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,"Nishidate, Yuhi","Nishidate, Yuhi",False,yuhi nishidate,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Norimoto, Takahiro",8,11.0,10.0,0,1,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,6,0.0,0.1,0.1,0.1,"*Norimoto, Takahiro","Norimoto, Takahiro",True,takahiro norimoto,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.2,0.0,0.0,0.5454545454545454,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Ohshiro, Takumi",43,138.0,125.0,15,39,9.0,1.0,6,68.0,16.0,0.0,0.0,0.0,0.0,13,1,0.0,36,4.0,0.312,0.544,0.377,"*Ohshiro, Takumi","Ohshiro, Takumi",True,takumi ohshiro,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.921,0.23200000000000004,0.09420289855072464,0.2608695652173913,0.043478260869565216,0.0,,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"Ota, Taisei",25,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Ota, Taisei","Ota, Taisei",False,taisei ota,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Sakamoto, Hayato",32,82.0,74.0,7,10,1.0,0.0,2,17.0,5.0,0.0,0.0,0.0,1.0,7,0,0.0,27,2.0,0.135,0.23,0.207,"Sakamoto, Hayato","Sakamoto, Hayato",False,hayato sakamoto,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.437,0.095,0.08536585365853659,0.32926829268292684,0.024390243902439025,0.0,,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Sasaki, Shunsuke",56,171.0,159.0,20,39,11.0,0.0,5,65.0,16.0,3.0,5.0,2.0,0.0,8,2,2.0,45,1.0,0.245,0.409,0.29,"*Sasaki, Shunsuke","Sasaki, Shunsuke",True,shunsuke sasaki,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.699,0.16399999999999998,0.04678362573099415,0.2631578947368421,0.029239766081871343,8.0,0.375,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunagawa, Richard",1,3.0,3.0,1,1,0.0,0.0,1,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.333,1.333,0.333,"Sunagawa, Richard","Sunagawa, Richard",False,richard sunagawa,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,1.666,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Takanashi, Yuhei",12,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"*Takanashi, Yuhei","Takanashi, Yuhei",True,yuhei takanashi,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
