source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,nationality,debut,person_url,source_url,source_confidence
CPBL,ADD,U-Lions,13,CHEN Yung Chi（Ma Yaw Ciru）,chen yung chi ma yaw ciru,,Third-Base Man,1983/07/13,179,89,R,R,,R.O.C.(TAIWAN),2011/03/20,https://en.cpbl.com.tw/team/person?Acnt=0000002661,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,35,PAN Chieh Kai,pan chieh kai,,Third-Base Man,1994/02/03,184,78,R,L,,R.O.C.(TAIWAN),2016/08/27,https://en.cpbl.com.tw/team/person?Acnt=0000002707,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,38,CHANG Hao Wei,chang hao wei,,Shortstop,2005/06/03,176,66,R,L,,R.O.C.(TAIWAN),2024/05/09,https://en.cpbl.com.tw/team/person?Acnt=0000007037,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,64,LIN Ching Kai,lin ching kai,,Second-Base Man,2000/07/22,170,70,R,R,,R.O.C.(TAIWAN),2019/04/26,https://en.cpbl.com.tw/team/person?Acnt=0000004642,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,66,CHEN Chung Ting,chen chung ting,,Shortstop,1995/09/14,181,81,R,R,,R.O.C.(TAIWAN),2017/09/01,https://en.cpbl.com.tw/team/person?Acnt=0000002289,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,67,LIN Hong Xian,lin hong xian,,Shortstop,2005/08/11,176,70,R,L,,R.O.C.(TAIWAN),2024/06/09,https://en.cpbl.com.tw/team/person?Acnt=0000007071,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,73,CHEN Sheng Ping,chen sheng ping,,Shortstop,2000/10/27,176,84,R,L,,R.O.C.(TAIWAN),2024/07/05,https://en.cpbl.com.tw/team/person?Acnt=0000007268,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,0,TAI Po Cheng,tai po cheng,,Center-Fielder,2004/02/28,173,78,R,R,,R.O.C.(TAIWAN),2026/06/05,https://en.cpbl.com.tw/team/person?Acnt=0000007036,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,8,Chu Chia En,chu chia en,,Left-Fielder,2001/01/15,175,70,R,L,,R.O.C.(TAIWAN),2020/09/08,https://en.cpbl.com.tw/team/person?Acnt=0000005522,https://en.cpbl.com.tw/team?ClubNo=ADD,4
CPBL,ADD,U-Lions,14,CHIU Chih Cheng,chiu chih cheng,,Right-Fielder,2000/11/26,168,80,L,L,,R.O.C.(TAIWAN),2020/05/09,https://en.cpbl.com.tw/team/person?Acnt=0000005531,https://en.cpbl.com.tw/team?ClubNo=ADD,4
