player_id,player_name,stat_group,sport_id,sport_level,status_code,split_count,error,source_url,collected_at
805326,"Schweitzer, Tyler",pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/805326/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
805326,"Schweitzer, Tyler",pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/805326/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
680885,"Schwellenbach, Spencer",pitching,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/680885/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
680885,"Schwellenbach, Spencer",pitching,11,AAA,200,0,,https://statsapi.mlb.com/api/v1/people/680885/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
680885,"Schwellenbach, Spencer",pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/680885/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
680885,"Schwellenbach, Spencer",pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/680885/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
680885,"Schwellenbach, Spencer",pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/680885/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
676664,"Sears, JP",pitching,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/676664/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
676664,"Sears, JP",pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/676664/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
676664,"Sears, JP",pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/676664/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
678011,"Seigler, Anthony",pitching,12,AA,200,0,,https://statsapi.mlb.com/api/v1/people/678011/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
678011,"Seigler, Anthony",pitching,11,AAA,200,0,,https://statsapi.mlb.com/api/v1/people/678011/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
676664,"Sears, JP",pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/676664/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
676664,"Sears, JP",pitching,11,AAA,200,6,,https://statsapi.mlb.com/api/v1/people/676664/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
678011,"Seigler, Anthony",pitching,13,High-A,200,0,,https://statsapi.mlb.com/api/v1/people/678011/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
678011,"Seigler, Anthony",pitching,14,Single-A,200,0,,https://statsapi.mlb.com/api/v1/people/678011/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
678011,"Seigler, Anthony",pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/678011/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
681882,"Selby, Colin",pitching,11,AAA,200,7,,https://statsapi.mlb.com/api/v1/people/681882/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
681882,"Selby, Colin",pitching,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/681882/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
681882,"Selby, Colin",pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/681882/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
681882,"Selby, Colin",pitching,16,Rookie,200,1,,https://statsapi.mlb.com/api/v1/people/681882/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
681882,"Selby, Colin",pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/681882/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
673540,"Senga, Kodai",pitching,11,AAA,200,3,,https://statsapi.mlb.com/api/v1/people/673540/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
673540,"Senga, Kodai",pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/673540/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
673540,"Senga, Kodai",pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/673540/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
673540,"Senga, Kodai",pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/673540/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
673540,"Senga, Kodai",pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/673540/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
622663,"Severino, Luis",pitching,11,AAA,200,5,,https://statsapi.mlb.com/api/v1/people/622663/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
622663,"Severino, Luis",pitching,13,High-A,200,3,,https://statsapi.mlb.com/api/v1/people/622663/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
