player_key,season,player_name,player_name_ko,player_name_statiz,player_name_en,arrival_season,kbo_team,kbo_team_raw,role_group,role_ko,template_status,release_note,pre_arrival_primary_league,pre_arrival_level,age_at_arrival,bats,throws,position_or_role,source_player_id,first_kbo_pa,first_kbo_ip,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,first_kbo_k_bb_pct,renewed_next_year,in_season_replaced,injury_exit_flag,performance_exit_flag,temporary_foreign_flag,outcome_available,label_available,success,strong_success,failure,statiz_matched,source_confidence_1_5,coverage_gap,source,target_only_columns,accessed_at,archetype_cluster_id,archetype_model_role,archetype_input_features
에디슨러셀,2023,에디슨 러셀,에디슨 러셀,러셀,Addison Wayne Russell,2023,키움,키움,hitter,야수,released,"손목 부상, 키움",,,,,,6,14742.0,239.0,,1.0204066038131714,106.44100189208984,,,0.0,1,1,0,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,1,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
닉윌리엄스,2023,닉 윌리엄스,닉 윌리엄스,윌리엄스,Nick Williams,2023,한화,한화 이글스,hitter,야수,listed,,,,,,,7,15647.0,273.0,,-0.5914393663406372,78.50509643554688,,0.2014652014652014,0.0,0,0,0,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
브라이언오그레디,2023,브라이언 오그레디,브라이언 오그레디,오그레디,Brian O'Grady,2023,한화,한화,hitter,야수,released,"성적 부진 및 옆구리 부상, 한화",,,,,,7,15541.0,86.0,,-0.9236897230148317,-20.75860023498535,,,0.0,1,1,1,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,1,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
소크라테스브리토,2024,소크라테스 브리토,소크라테스 브리토,소크라테스,Sócrates Orel Brito,2024,KIA,KIA 타이거즈,hitter,야수,listed,,,,,,,7,14996.0,602.0,,3.535667181015014,121.21900177001952,,0.0830564784053156,0.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
멜로하스주니어,2024,멜 로하스 주니어,멜 로하스 주니어,로하스,Mel Rojas Jr,2024,KT,kt wiz,hitter,야수,listed,,,,,,,7,12995.0,670.0,,6.708414077758789,153.26199340820312,,0.0402985074626865,0.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
오스틴딘,2024,오스틴 딘,오스틴 딘,오스틴,Austin James Dean,2024,LG,LG 트윈스,hitter,야수,listed,,,,,,,3,15532.0,604.0,,5.228662014007568,147.7550048828125,,0.0347682119205298,1.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
맷데이비드슨,2024,맷 데이비드슨,맷 데이비드슨,데이비슨,Matthew Glen Davidson,2024,NC,NC 다이노스,hitter,야수,listed,,,,,,,3,16066.0,567.0,,4.108154773712158,153.94900512695312,,0.1816578483245149,0.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
기예르모에레디아,2024,기예르모 에레디아,기예르모 에레디아,에레디아,Guillermo Heredia Molina,2024,SSG,SSG 랜더스,hitter,야수,listed,,,,,,,7,15530.0,591.0,,4.563113689422607,137.21099853515625,,0.0761421319796954,1.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
제러드영,2024,제러드 영,제러드 영,제러드,Jared Young,2024,두산,두산 베어스,hitter,야수,listed,,,,,,,9,16158.0,169.0,,1.645452618598938,183.68800354003903,,0.0828402366863905,0.0,0,0,0,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
헨리라모스,2024,헨리 라모스,헨리 라모스,라모스,Henry Ramos,2024,두산,두산,hitter,야수,released,"태업성 플레이, 두산",,,,,,9,15000.0,348.0,,1.7375532388687134,119.56999969482422,,,0.0,1,0,1,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,1,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
