year,t_code,t_code_name,split_value,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,split_type,pa_rank,r_rank,rbi_rank,hr_rank,avg_rank,obp_rank,slg_rank,ops_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count_in_split
2023,12001,KT,OF_1-2_table_setters,131,11,756.0,669,179,32,2,3,69,5,5,114,224,106,55.0,19.0,0.26756352765321373,0.3382352941176471,0.33482810164424515,0.6730633957618922,0.06726457399103142,0.09126984126984126,0.15079365079365079,of_lineup_group,5.0,3.0,5.0,7.0,6.0,5.0,7.0,6.0,8.0,5.0,5.0,10
2023,6002,두산,OF_1-2_table_setters,138,10,826.0,714,180,19,12,4,86,13,2,116,235,101,45.0,45.0,0.25210084033613445,0.3423312883435583,0.3291316526610644,0.6714629410046227,0.07703081232492998,0.10411622276029056,0.14043583535108958,of_lineup_group,3.0,4.0,6.0,5.0,7.0,4.0,9.0,7.0,7.0,3.0,3.0,10
2023,10001,키움,OF_1-2_table_setters,114,15,625.0,540,132,30,5,3,62,8,6,122,181,79,41.0,6.0,0.24444444444444444,0.32792207792207795,0.3351851851851852,0.6631072631072632,0.09074074074074076,0.0992,0.1952,of_lineup_group,7.0,7.0,8.0,7.0,10.0,8.0,6.0,8.0,5.0,4.0,8.0,10
2023,2002,KIA,OF_1-2_table_setters,54,7,247.0,224,60,10,1,1,17,2,0,52,75,27,17.0,4.0,0.26785714285714285,0.32510288065843623,0.33482142857142855,0.6599243092298648,0.0669642857142857,0.06882591093117409,0.21052631578947367,of_lineup_group,10.0,10.0,10.0,10.0,5.0,9.0,8.0,9.0,9.0,9.0,9.0,10
2023,3001,롯데,OF_1-2_table_setters,136,11,870.0,775,194,28,4,3,64,4,9,151,239,100,70.0,27.0,0.2503225806451613,0.3075117370892019,0.30838709677419357,0.6158988338633955,0.058064516129032295,0.0735632183908046,0.1735632183908046,of_lineup_group,2.0,5.0,3.0,7.0,8.0,10.0,10.0,10.0,10.0,8.0,7.0,10
2023,2002,KIA,OF_3-5_run_production,136,10,927.0,827,248,47,4,30,84,3,12,150,393,139,161.0,16.0,0.2998790810157195,0.3617710583153348,0.4752116082224909,0.8369826665378257,0.17533252720677145,0.09061488673139159,0.16181229773462782,of_lineup_group,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,6.0,4.0,10
2023,10001,키움,OF_3-5_run_production,118,14,692.0,595,184,34,4,12,75,11,10,95,262,88,88.0,12.0,0.3092436974789916,0.3907380607814761,0.4403361344537815,0.8310741952352576,0.1310924369747899,0.10838150289017341,0.13728323699421965,of_lineup_group,5.0,3.0,5.0,7.0,1.0,1.0,2.0,2.0,6.0,3.0,3.0,10
2023,1001,삼성,OF_3-5_run_production,131,12,737.0,659,200,35,3,16,68,5,3,99,289,85,100.0,13.0,0.30349013657056145,0.37142857142857144,0.4385432473444613,0.8099718187730327,0.13505311077389986,0.09226594301221167,0.13432835820895522,of_lineup_group,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,10
2023,12001,KT,OF_3-5_run_production,107,11,524.0,468,137,26,2,13,45,6,4,120,206,72,57.0,18.0,0.29273504273504275,0.35946462715105165,0.44017094017094016,0.7996355673219918,0.1474358974358974,0.08587786259541985,0.22900763358778625,of_lineup_group,6.0,6.0,7.0,5.0,5.0,6.0,3.0,4.0,3.0,8.0,10.0,10
2023,9002,SSG,OF_3-5_run_production,120,10,700.0,630,187,35,0,14,49,15,4,124,264,78,98.0,14.0,0.2968253968253968,0.35959885386819485,0.41904761904761906,0.7786464729158139,0.12222222222222223,0.07,0.17714285714285713,of_lineup_group,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,9.0,6.0,10
2023,11001,NC,OF_3-5_run_production,143,11,1425.0,1226,342,63,5,32,148,18,25,255,511,155,215.0,26.0,0.27895595432300163,0.3585038814396613,0.4168026101141925,0.7753064915538538,0.13784665579119088,0.10385964912280701,0.17894736842105263,of_lineup_group,1.0,1.0,1.0,1.0,7.0,7.0,6.0,6.0,4.0,4.0,7.0,10
2023,5002,LG,OF_3-5_run_production,36,9,147.0,125,35,6,1,1,18,2,2,12,46,19,15.0,3.0,0.28,0.3741496598639456,0.368,0.7421496598639457,0.08799999999999997,0.12244897959183673,0.08163265306122448,of_lineup_group,10.0,10.0,10.0,10.0,6.0,2.0,8.0,7.0,10.0,1.0,1.0,10
