role_model_family,signal_type,rule,target,support_rows,total_role_rows,support_share,target_rate_inside_rule,role_base_target_rate,rate_delta_vs_role_base,lift_vs_role_base,permutation_p_value,signal_direction,semantic_alignment,rule_gate,release_policy,candidate_release_allowed,abs_rate_delta
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,performance_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,performance_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_track_continuity=low_bottom_tercile,performance_exit_flag,7,22,0.3181818181818182,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.5714285714285714,1.0,risk_enrichment,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.05194805194805194
hitter,single_family,hitter_track_continuity=low_bottom_tercile,strong_success,7,22,0.3181818181818182,0.5714285714285714,0.3181818181818182,0.2532467532467532,1.7959183673469388,0.18163672654690619,success_enrichment,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.2532467532467532
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,strong_success,5,22,0.22727272727272727,0.0,0.3181818181818182,-0.3181818181818182,0.0,0.1217564870259481,success_suppression,semantically_aligned,promote_as_research_archetype_signal,layer2_archetype_research_only_no_candidate_release,False,0.3181818181818182
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,strong_success,4,22,0.18181818181818182,0.75,0.3181818181818182,0.4318181818181818,2.357142857142857,0.08183632734530938,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.4318181818181818
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,strong_success,4,22,0.18181818181818182,0.0,0.3181818181818182,-0.3181818181818182,0.0,0.281437125748503,success_suppression,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.3181818181818182
hitter,single_family,hitter_track_continuity=high_top_tercile,strong_success,7,22,0.3181818181818182,0.14285714285714285,0.3181818181818182,-0.17532467532467533,0.4489795918367347,0.37325349301397204,success_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.17532467532467533
hitter,single_family,hitter_quality_of_contact=high_top_tercile,strong_success,7,22,0.3181818181818182,0.42857142857142855,0.3181818181818182,0.11038961038961037,1.346938775510204,0.6307385229540918,success_enrichment,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.11038961038961037
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,strong_success,7,22,0.3181818181818182,0.42857142857142855,0.3181818181818182,0.11038961038961037,1.346938775510204,0.6227544910179641,success_enrichment,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.11038961038961037
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,strong_success,7,22,0.3181818181818182,0.42857142857142855,0.3181818181818182,0.11038961038961037,1.346938775510204,0.6287425149700598,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.11038961038961037
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,strong_success,5,22,0.22727272727272727,0.4,0.3181818181818182,0.08181818181818185,1.2571428571428573,1.0,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.08181818181818185
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,strong_success,8,22,0.36363636363636365,0.25,0.3181818181818182,-0.06818181818181818,0.7857142857142857,0.6646706586826348,success_suppression,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.06818181818181818
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,strong_success,4,22,0.18181818181818182,0.25,0.3181818181818182,-0.06818181818181818,0.7857142857142857,1.0,success_suppression,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.06818181818181818
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,strong_success,4,22,0.18181818181818182,0.25,0.3181818181818182,-0.06818181818181818,0.7857142857142857,1.0,success_suppression,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.06818181818181818
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,strong_success,4,22,0.18181818181818182,0.25,0.3181818181818182,-0.06818181818181818,0.7857142857142857,1.0,success_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.06818181818181818
hitter,single_family,hitter_milb_surface_power=high_top_tercile,strong_success,7,22,0.3181818181818182,0.2857142857142857,0.3181818181818182,-0.03246753246753248,0.8979591836734694,1.0,success_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.03246753246753248
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,strong_success,9,22,0.4090909090909091,0.3333333333333333,0.3181818181818182,0.015151515151515138,1.0476190476190477,1.0,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.015151515151515138
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,success,4,22,0.18181818181818182,1.0,0.5909090909090909,0.40909090909090906,1.6923076923076923,0.12974051896207583,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.40909090909090906
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,success,5,22,0.22727272727272727,0.8,0.5909090909090909,0.2090909090909091,1.353846153846154,0.35728542914171657,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.2090909090909091
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,success,5,22,0.22727272727272727,0.8,0.5909090909090909,0.2090909090909091,1.353846153846154,0.3712574850299401,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.2090909090909091
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,success,9,22,0.4090909090909091,0.7777777777777778,0.5909090909090909,0.18686868686868685,1.3162393162393162,0.21956087824351297,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.18686868686868685
hitter,single_family,hitter_track_continuity=high_top_tercile,success,7,22,0.3181818181818182,0.42857142857142855,0.5909090909090909,-0.1623376623376624,0.7252747252747253,0.3712574850299401,success_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.1623376623376624
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,success,8,22,0.36363636363636365,0.75,0.5909090909090909,0.15909090909090906,1.2692307692307692,0.32934131736526945,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.15909090909090906
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,success,4,22,0.18181818181818182,0.75,0.5909090909090909,0.15909090909090906,1.2692307692307692,0.6487025948103793,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.15909090909090906
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,success,4,22,0.18181818181818182,0.75,0.5909090909090909,0.15909090909090906,1.2692307692307692,0.5968063872255489,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.15909090909090906
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,success,7,22,0.3181818181818182,0.7142857142857143,0.5909090909090909,0.12337662337662336,1.2087912087912087,0.6287425149700598,success_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.12337662337662336
