context_value,p_no,p_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type
03,11153,김성욱,3,1,7.0,7,1,0,0,0,0,0,0,2,1,1,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,month
03,16042,정준재,3,1,7.0,6,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,month
03,10815,한유섬,1,1,4.0,3,1,0,0,0,1,0,0,1,1,0,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.0,0.25,0.25,0.0,0.0,0.0,month
03,12613,안상현,3,1,4.0,3,2,2,0,0,1,0,0,0,4,2,0.0,0.0,0.6666666666666666,0.75,1.3333333333333333,2.083333333333333,0.6666666666666666,0.25,0.0,0.0,0.5,0.0,month
03,10249,오태곤,2,1,3.0,3,2,0,0,0,0,0,0,1,2,2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,month
03,10312,이지영,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,month
03,14153,채현우,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,month
03,16321,홍대인,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,month
04,12922,박성한,24,1,112.0,93,42,9,1,2,17,1,1,10,59,21,18.0,3.0,0.45161290322580644,0.5357142857142857,0.6344086021505376,1.1701228878648233,0.1827956989247312,0.15178571428571427,0.08928571428571429,0.017857142857142856,0.1875,0.16071428571428573,month
04,10106,최정,24,1,105.0,88,24,6,1,7,14,2,1,22,53,15,16.0,3.0,0.2727272727272727,0.38095238095238093,0.6022727272727273,0.9832251082251082,0.3295454545454546,0.13333333333333333,0.20952380952380953,0.06666666666666667,0.14285714285714285,0.1523809523809524,month
04,15530,에레디아,24,1,104.0,97,24,4,0,3,4,1,2,21,37,8,17.0,0.0,0.24742268041237114,0.27884615384615385,0.38144329896907214,0.660289452815226,0.134020618556701,0.038461538461538464,0.20192307692307693,0.028846153846153848,0.07692307692307693,0.16346153846153846,month
04,14587,최지훈,24,1,100.0,92,20,4,1,4,4,2,1,17,38,17,17.0,2.0,0.21739130434782608,0.26262626262626265,0.41304347826086957,0.6756697408871322,0.1956521739130435,0.04,0.17,0.04,0.17,0.17,month
04,10643,김재환,21,1,87.0,70,8,1,0,1,17,0,0,20,12,5,6.0,0.0,0.11428571428571428,0.28735632183908044,0.17142857142857143,0.45878489326765187,0.05714285714285715,0.19540229885057472,0.22988505747126436,0.011494252873563218,0.05747126436781609,0.06896551724137931,month
04,10815,한유섬,24,1,75.0,57,10,1,0,0,15,2,1,15,11,8,3.0,1.0,0.17543859649122806,0.36,0.19298245614035087,0.5529824561403509,0.017543859649122806,0.2,0.2,0.0,0.10666666666666667,0.04,month
04,16042,정준재,21,1,62.0,53,17,1,1,1,6,0,0,11,23,9,8.0,3.0,0.32075471698113206,0.3898305084745763,0.4339622641509434,0.8237927726255196,0.11320754716981135,0.0967741935483871,0.1774193548387097,0.016129032258064516,0.14516129032258066,0.12903225806451613,month
04,10249,오태곤,21,1,56.0,50,11,3,0,2,3,2,1,20,20,7,11.0,2.0,0.22,0.2857142857142857,0.4,0.6857142857142857,0.18000000000000002,0.05357142857142857,0.35714285714285715,0.03571428571428571,0.125,0.19642857142857142,month
04,14807,고명준,14,1,56.0,51,16,5,0,2,5,0,0,13,27,5,10.0,1.0,0.3137254901960784,0.375,0.5294117647058824,0.9044117647058824,0.21568627450980393,0.08928571428571429,0.23214285714285715,0.03571428571428571,0.08928571428571429,0.17857142857142858,month
04,14806,조형우,14,1,50.0,43,12,2,0,0,4,2,0,4,14,5,2.0,0.0,0.27906976744186046,0.3673469387755102,0.32558139534883723,0.6929283341243475,0.04651162790697677,0.08,0.08,0.0,0.1,0.04,month
04,12613,안상현,15,1,44.0,34,9,1,0,1,6,1,0,8,13,8,4.0,2.0,0.2647058823529412,0.3902439024390244,0.38235294117647056,0.772596843615495,0.11764705882352938,0.13636363636363635,0.18181818181818182,0.022727272727272728,0.18181818181818182,0.09090909090909091,month
04,11153,김성욱,24,1,42.0,32,9,1,0,1,8,1,1,11,13,7,6.0,1.0,0.28125,0.42857142857142855,0.40625,0.8348214285714286,0.125,0.19047619047619047,0.2619047619047619,0.023809523809523808,0.16666666666666666,0.14285714285714285,month
04,10312,이지영,18,1,38.0,34,5,2,0,0,4,0,0,3,7,4,1.0,1.0,0.14705882352941177,0.23684210526315788,0.20588235294117646,0.44272445820433437,0.05882352941176469,0.10526315789473684,0.07894736842105263,0.0,0.10526315789473684,0.02631578947368421,month
04,13128,최준우,6,1,8.0,7,4,0,0,0,1,0,0,0,4,2,0.0,0.0,0.5714285714285714,0.625,0.5714285714285714,1.1964285714285714,0.0,0.125,0.0,0.0,0.25,0.0,month
04,10707,김민식,6,1,7.0,7,2,0,0,0,0,0,0,1,2,0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,month
04,16321,홍대인,11,1,6.0,4,3,1,0,0,2,0,0,0,4,3,2.0,0.0,0.75,0.8333333333333334,1.0,1.8333333333333335,0.25,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,month
04,14153,채현우,15,1,5.0,4,2,0,0,0,0,0,1,1,2,4,1.0,1.0,0.5,0.4,0.5,0.9,0.0,0.0,0.2,0.0,0.8,0.2,month
04,14586,류효승,1,1,4.0,3,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,month
04,15121,석정우,3,1,3.0,2,1,0,0,0,1,0,0,1,1,0,1.0,0.0,0.5,0.6666666666666666,0.5,1.1666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,month
04,15467,김민준,2,1,2.0,2,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,month
04,15122,임근우,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,month
04,14146,김창평,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,month
05,16042,정준재,26,1,121.0,100,31,6,3,0,12,1,3,15,43,17,13.0,4.0,0.31,0.3793103448275862,0.43,0.8093103448275862,0.12,0.09917355371900827,0.12396694214876033,0.0,0.14049586776859505,0.10743801652892562,month
05,15530,에레디아,26,1,114.0,100,29,4,0,2,9,3,2,17,39,12,20.0,0.0,0.29,0.35964912280701755,0.39,0.7496491228070176,0.10000000000000003,0.07894736842105263,0.14912280701754385,0.017543859649122806,0.10526315789473684,0.17543859649122806,month
05,12922,박성한,26,1,110.0,93,24,2,0,1,16,0,1,14,29,16,7.0,2.0,0.25806451612903225,0.36363636363636365,0.3118279569892473,0.675464320625611,0.05376344086021506,0.14545454545454545,0.12727272727272726,0.00909090909090909,0.14545454545454545,0.06363636363636363,month
05,14587,최지훈,25,1,109.0,100,22,5,2,2,8,0,1,13,37,13,10.0,3.0,0.22,0.27522935779816515,0.37,0.6452293577981651,0.15,0.07339449541284404,0.11926605504587157,0.01834862385321101,0.11926605504587157,0.09174311926605505,month
05,10249,오태곤,25,1,94.0,88,20,3,0,5,6,0,0,24,38,12,9.0,2.0,0.22727272727272727,0.2765957446808511,0.4318181818181818,0.7084139264990329,0.20454545454545456,0.06382978723404255,0.2553191489361702,0.05319148936170213,0.1276595744680851,0.09574468085106383,month
