season,player_key,kbo_team,role_model_family,archetype_cluster_id,archetype_name,success,failure,in_season_replaced,injury_exit_flag,performance_exit_flag,has_savant_bool,has_milb_bool,backfill_need,backfill_priority,candidate_release_allowed,release_policy,player_name_en,matched_player_id,matched_full_name,matched_position,matched_birth_date,matched_mlb_debut_date,match_variant,match_string_score,match_status,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip,backfill_resolution_status
2024,맷데이비드슨,NC,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Matthew Glen Davidson,571602,Matt Davidson,DH,1991-03-26,2013-08-11,Matt Davidson,1.0,matched_high_confidence,True,14.0,2022.0,3.0,100.0,3.0,0.0,764.0,1.0574371727748693,0.41390575916230365,0.6435314136125655,0.2670157068062827,0.11518324607329843,,,,,,,,statsapi_backfilled_model_ready
2024,멜로하스주니어,KT,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Mel Rojas Jr,592692,Mel Rojas Jr.,CF,1990-05-24,,mel rojas,1.0,matched_high_confidence,True,12.0,2017.0,0.0,100.0,6.0,4.0,3466.0,0.7172365839584536,0.3266901327178304,0.3905464512406232,0.20369301788805538,0.08597807270628967,,,,,,,,statsapi_backfilled_model_ready
2024,소크라테스브리토,KIA,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Sócrates Orel Brito,593647,Sócrates Brito,RF,1992-09-06,2015-09-08,Socrates Brito,1.0,matched_high_confidence,True,13.0,2021.0,0.0,100.0,5.0,1.0,4276.0,0.7698554724041159,0.3351036014967259,0.43475187090739015,0.205799812909261,0.0666510757717493,,,,,,,,statsapi_backfilled_model_ready
2024,아리엘후라도,키움,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Ariel Bolívar Jurado Agrazal,642558,Ariel Jurado,P,1996-01-30,2018-05-19,Ariel Jurado,1.0,matched_high_confidence,True,10.0,2022.0,2.0,100.0,1.0,0.0,,,,,0.21818181818181817,0.06363636363636363,57.333333333333336,8.0,7.534883720930233,2.197674418604651,1.0988372093023255,3.2930232558139534,0.963953488372093,statsapi_backfilled_model_ready
2024,애런윌커슨,롯데,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Aaron Wilkerson,658792,Aaron Wilkerson,P,1989-05-24,2017-09-15,aaron wilkerson,1.0,matched_high_confidence,True,12.0,2023.0,1.0,100.0,1.0,0.0,,,,,0.24766355140186916,0.06542056074766354,47.0,6.0,10.148936170212766,2.6808510638297873,2.297872340425532,6.51,1.6,statsapi_backfilled_model_ready
2024,에릭요키시,NC,pitcher,2,pitcher_failure_replacement_or_health_risk,0,1,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Eric Spenser Jokisch,518852,Eric Jokisch,P,1989-07-29,2014-09-07,eric jokisch,1.0,matched_high_confidence,True,17.0,2018.0,0.0,100.0,8.0,5.0,,,,,0.1839572192513369,0.0720855614973262,1106.0,165.0,6.998191681735985,2.7423146473779387,0.740506329113924,3.638004822182037,1.3046955997588907,statsapi_backfilled_model_ready
2024,요나탄페를라사,한화,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Yonathan Jesús Perlaza,666632,Yonathan Perlaza,2B,1998-11-10,,yonathan perlaza,1.0,matched_high_confidence,True,7.0,2023.0,2.0,100.0,1.0,1.0,1090.0,0.8858642201834862,0.37344311926605506,0.5124211009174312,0.22568807339449543,0.13577981651376148,,,,,,,,statsapi_backfilled_model_ready
2024,웨스벤자민,KT,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Wes Benjamin,605138,Wes Benjamin,P,1993-07-26,2020-08-16,wes benjamin,1.0,matched_high_confidence,True,8.0,2022.0,1.0,100.0,1.0,0.0,,,,,0.24615384615384617,0.09230769230769231,30.666666666666668,7.0,9.391304347826086,3.5217391304347823,1.7608695652173911,3.82,1.3,statsapi_backfilled_model_ready
2024,윌리엄쿠에바스,KT,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,William Enrique Cuevas Osorio,571035,William Cuevas,P,1990-10-14,2016-04-21,William Cuevas,1.0,matched_high_confidence,True,15.0,2023.0,1.0,100.0,1.0,0.0,,,,,0.2205128205128205,0.10256410256410256,44.0,9.0,8.795454545454545,4.090909090909091,2.659090909090909,6.14,1.41,statsapi_backfilled_model_ready
2024,윌크로우,KIA,pitcher,0,pitcher_failure_replacement_or_health_risk,0,1,1,1,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,William Chandler Crowe,640444,Wil Crowe,P,1994-09-09,2020-08-22,Wil Crowe,1.0,matched_high_confidence,True,8.0,2023.0,2.0,100.0,1.0,0.0,,,,,0.2302158273381295,0.10071942446043165,30.333333333333332,3.0,9.494505494505495,4.153846153846154,0.8901098901098902,3.854175824175824,1.5853846153846152,statsapi_backfilled_model_ready
2024,펠릭스페냐,한화,pitcher,3,pitcher_failure_replacement_or_health_risk,0,1,1,0,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Félix Ricardo Peña,570240,Félix Peña,P,1990-02-25,2016-08-19,felix pena,1.0,matched_high_confidence,True,13.0,2022.0,1.0,100.0,1.0,0.0,,,,,0.20155038759689922,0.06976744186046512,31.0,6.0,7.548387096774194,2.6129032258064515,0.8709677419354839,4.06,1.32,statsapi_backfilled_model_ready
2025,기예르모에레디아,SSG,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Guillermo Heredia Molina,628338,Guillermo Heredia,LF,1991-01-31,2016-07-29,Guillermo Heredia,1.0,matched_high_confidence,True,5.0,2021.0,0.0,100.0,4.0,1.0,488.0,0.7699651639344263,0.38863319672131147,0.38133196721311474,0.12295081967213115,0.10860655737704918,,,,,,,,statsapi_backfilled_model_ready
2025,드류앤더슨,SSG,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Andrew James Anderson,623454,Drew Anderson,P,1994-03-22,2017-08-01,Drew Anderson,1.0,matched_high_confidence,True,11.0,2024.0,1.0,100.0,1.0,0.0,,,,,0.24615384615384617,0.13846153846153847,14.0,0.0,10.285714285714286,5.785714285714286,0.0,3.8600000000000003,1.7900000000000003,statsapi_backfilled_model_ready
2025,라울알칸타라,키움,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Raul Alcántara,593417,Raúl Alcántara,P,1992-12-04,2016-09-05,Raul Alcantara,1.0,matched_high_confidence,True,12.0,2018.0,0.0,100.0,3.0,2.0,,,,,0.16602854159415245,0.04907761921336582,693.6666666666666,124.0,6.188851513695339,1.829408938010572,0.6357520422873619,3.5919942335415667,1.2225660740028834,statsapi_backfilled_model_ready
2025,라이언맥브룸,SSG,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Ryan McBroom,643436,Ryan McBroom,1B,1992-04-09,2019-09-03,ryan mcbroom,1.0,matched_high_confidence,True,10.0,2021.0,0.0,100.0,3.0,5.0,3657.0,0.8134129067541702,0.3472266885425212,0.4661862182116489,0.2132895816242822,0.0844954881050041,,,,,,,,statsapi_backfilled_model_ready
