role_segment,replacement_relevant,split_family,query_si,si_name,bucket_group,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa
DH_primary_or_bridge,True,score_context,3,game_situation,situation,tied_game,situation/1/tied_game,1,52,47,2,8,0,0,0,8,4,4,1,20,0,0,0.0,0.1702127659574468,0.25,0.1702127659574468,0.42021276595744683,0.0,0.07692307692307693,0.38461538461538464,0.0,0.07692307692307693
DH_primary_or_bridge,True,score_context,3,game_situation,situation,within_four_run,situation/5/within_four_run,1,182,147,15,29,2,0,5,46,21,32,2,59,1,1,0.0,0.19727891156462585,0.34615384615384615,0.3129251700680272,0.6590790162218734,0.11564625850340138,0.17582417582417584,0.3241758241758242,0.027472527472527472,0.11538461538461539
DH_primary_or_bridge,True,score_context,3,game_situation,situation,within_one_run,situation/2/within_one_run,1,93,78,4,14,1,0,1,18,8,12,2,29,0,1,0.0,0.1794871794871795,0.3010752688172043,0.23076923076923078,0.5318444995864351,0.051282051282051294,0.12903225806451613,0.3118279569892473,0.010752688172043012,0.08602150537634409
DH_primary_or_bridge,True,score_context,3,game_situation,situation,within_three_run,situation/4/within_three_run,1,163,131,12,23,1,0,4,36,18,29,2,53,1,1,0.0,0.17557251908396945,0.3312883435582822,0.2748091603053435,0.6060975038636257,0.09923664122137407,0.17791411042944785,0.32515337423312884,0.024539877300613498,0.11042944785276074
DH_primary_or_bridge,True,score_context,3,game_situation,situation,within_two_run,situation/3/within_two_run,1,138,114,11,21,1,0,4,34,16,21,2,46,0,1,0.0,0.18421052631578946,0.3188405797101449,0.2982456140350877,0.6170861937452325,0.11403508771929824,0.15217391304347827,0.3333333333333333,0.028985507246376812,0.11594202898550725
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,1001,stadium/1001,1,33,28,3,6,0,0,2,12,5,5,0,8,1,0,0.0,0.21428571428571427,0.3333333333333333,0.42857142857142855,0.7619047619047619,0.21428571428571427,0.15151515151515152,0.24242424242424243,0.06060606060606061,0.15151515151515152
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,1003,stadium/1003,1,12,10,1,2,1,0,0,3,1,1,1,6,0,0,0.0,0.2,0.3333333333333333,0.3,0.6333333333333333,0.09999999999999998,0.08333333333333333,0.5,0.0,0.08333333333333333
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,2001,stadium/2001,1,102,83,10,14,0,0,4,26,12,17,1,35,2,1,0.0,0.1686746987951807,0.3137254901960784,0.3132530120481928,0.6269785022442712,0.14457831325301207,0.16666666666666666,0.3431372549019608,0.0392156862745098,0.11764705882352941
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,2002,stadium/2002,1,13,10,2,3,0,0,1,6,3,3,0,2,0,0,0.0,0.3,0.46153846153846156,0.6,1.0615384615384615,0.3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.23076923076923078
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,4003,stadium/4003,1,13,12,1,3,0,0,1,6,4,1,0,4,0,0,0.0,0.25,0.3076923076923077,0.5,0.8076923076923077,0.25,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.3076923076923077
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,6001,stadium/6001,1,11,8,1,2,0,0,0,2,0,3,0,3,0,0,1.0,0.25,0.45454545454545453,0.25,0.7045454545454546,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,7003,stadium/7003,1,9,7,0,1,1,0,0,2,0,2,0,3,0,0,0.0,0.14285714285714285,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.14285714285714285,0.2222222222222222,0.3333333333333333,0.0,0.0
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,8001,stadium/8001,1,16,14,2,2,0,0,0,2,1,2,0,2,0,0,0.0,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0.0,0.125,0.125,0.0,0.0625
DH_primary_or_bridge,True,stadium,2,location_team_stadium,stadium,8005,stadium/8005,1,10,8,1,1,0,0,0,1,2,2,0,4,0,0,0.0,0.125,0.3,0.125,0.425,0.0,0.2,0.4,0.0,0.2
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,0B_0S,ballCount/0/0B_0S,1,20,20,1,3,0,0,0,3,1,0,0,0,1,0,0.0,0.15,0.15,0.15,0.3,0.0,0.0,0.0,0.0,0.05
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,0B_1S,ballCount/0/0B_1S,1,17,14,1,3,1,0,0,4,2,0,2,0,1,1,0.0,0.21428571428571427,0.29411764705882354,0.2857142857142857,0.5798319327731092,0.07142857142857142,0.0,0.0,0.0,0.11764705882352941
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,0B_2S,ballCount/0/0B_2S,1,15,15,0,2,0,0,0,2,0,0,0,8,0,0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.0,0.0,0.5333333333333333,0.0,0.0
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,1B_0S,ballCount/0/1B_0S,1,11,11,2,3,0,0,2,9,6,0,0,0,0,0,0.0,0.2727272727272727,0.2727272727272727,0.8181818181818182,1.0909090909090908,0.5454545454545455,0.0,0.0,0.18181818181818182,0.5454545454545454
