season,player_key,player_name,player_name_en,kbo_team,role_group,role_model_family,matched_to_savant,has_pre_kbo_savant_features,match_method,match_score,match_key,matched_savant_name,matched_savant_player_id,prior_savant_years,prior_savant_rows,success,failure
2025,요니치리노스,요니 치리노스,Yonny Chirinos,LG,starter,pitcher,True,True,exact_variant,1.0,chirinos yonny,"Chirinos, Yonny",630023.0,2022 | 2023 | 2024,3,1,0
2025,코엔윈,코엔 윈,Coen Wynne,LG,starter,pitcher,False,False,,,,,,,0,0,1
2025,맷데이비슨,맷 데이비슨,Matthew Glen Davidson,NC,hitter,hitter,False,False,,,,,,,0,1,0
2025,라일리톰프슨,라일리 톰프슨,Riley Thompson,NC,starter,pitcher,False,False,,,,,,,0,1,0
2025,로건앨런,로건 앨런,Logan Allen,NC,starter,pitcher,False,False,,,,,,,0,1,0
2025,기예르모에레디아,기예르모 에레디아,Guillermo Heredia Molina,SSG,hitter,hitter,False,False,,,,,,,0,1,0
2025,라이언맥브룸,라이언 맥브룸,Ryan McBroom,SSG,hitter,hitter,False,False,,,,,,,0,0,1
2025,드류앤더슨,드류 앤더슨,Andrew James Anderson,SSG,starter,pitcher,False,False,,,,,,,0,1,0
2025,미치화이트,미치 화이트,Mitch White,SSG,starter,pitcher,True,True,exact_variant,1.0,mitch white,"White, Mitch",669952.0,2022 | 2023 | 2024,3,1,0
2025,제이크케이브,제이크 케이브,Jake Cave,두산,hitter,hitter,True,True,exact_variant,1.0,cave jake,jake cave,595909.0,2022 | 2023 | 2024,3,1,0
2025,잭로그,잭 로그,Zach Logue,두산,starter,pitcher,True,True,exact_variant,1.0,logue zach,"Logue, Zach",656657.0,2022 | 2023 | 2024,3,1,0
2025,콜어빈,콜 어빈,Cole Irvin,두산,starter,pitcher,True,True,exact_variant,1.0,cole irvin,"Irvin, Cole",608344.0,2022 | 2023 | 2024,3,1,0
2025,빅터레예스,빅터 레예스,Víctor José Reyes,롯데,hitter,hitter,True,True,exact_variant,1.0,reyes victor,víctor reyes,622682.0,2022,1,1,0
2025,빈스벨라스케즈,빈스 벨라스케즈,Vincent John Velasquez,롯데,starter,pitcher,False,False,,,,,,,0,0,1
2025,알렉감보아,알렉 감보아,Alec Gamboa,롯데,starter,pitcher,True,False,exact_variant,1.0,alec gamboa,"Gamboa, Alec",687941.0,,0,1,0
2025,찰리반즈,찰리 반즈,Charlie Barnes,롯데,starter,pitcher,True,False,exact_variant,1.0,barnes charlie,"Barnes, Charlie",656212.0,,0,0,1
2025,터커데이비드슨,터커 데이비드슨,Tucker Davidson,롯데,starter,pitcher,True,True,exact_variant,1.0,davidson tucker,"Davidson, Tucker",656353.0,2022 | 2023 | 2024,3,0,1
2025,르윈디아즈,르윈 디아즈,Lewin Díaz,삼성,hitter,hitter,True,True,exact_variant,1.0,diaz lewin,lewin díaz,650331.0,2022,1,1,0
2025,데니레예스,데니 레예스,Denyi Reyes,삼성,starter,pitcher,True,True,exact_variant,1.0,denyi reyes,"Reyes, Denyi",660593.0,2022 | 2023,2,0,1
2025,아리엘후라도,아리엘 후라도,Ariel Bolívar Jurado Agrazal,삼성,starter,pitcher,False,False,,,,,,,0,1,0
2025,헤르손가라비토,헤르손 가라비토,Gerson Yeris Garabito,삼성,starter,pitcher,True,True,exact_variant,1.0,garabito gerson,"Garabito, Gerson",642520.0,2024,1,0,0
2025,루벤카디네스,루벤 카디네스,Ruben Cardenas,키움,hitter,hitter,False,False,,,,,,,0,0,1
2025,루벤카디네스,루벤 카디네스,Ruben Cardenas,키움,hitter,hitter,False,False,,,,,,,0,0,1
2025,스톤개랫,스톤 개랫,Stone Garrett,키움,hitter,hitter,True,True,exact_variant,1.0,garrett stone,stone garrett,656448.0,2022 | 2023 | 2024,3,0,1
2025,야시엘푸이그,야시엘 푸이그,Yasiel Puig Valdés,키움,hitter,hitter,False,False,,,,,,,0,0,1
2025,CC메르세데스,C.C 메르세데스,Cristopher Crisostomo Mercedes,키움,starter,pitcher,False,False,,,,,,,0,0,1
2025,라울알칸타라,라울 알칸타라,Raul Alcántara,키움,starter,pitcher,False,False,,,,,,,0,1,0
2025,라클란웰스,라클란 웰스,Lachlan Robert Wells,키움,starter,pitcher,False,False,,,,,,,0,1,1
2025,케니로젠버그,케니 로젠버그,Kenny Rosenberg,키움,starter,pitcher,True,True,exact_variant,1.0,kenny rosenberg,"Rosenberg, Kenny",670046.0,2022 | 2023 | 2024,3,0,1
2025,루이스리베라토,루이스 리베라토,Luis David Liberato,한화,hitter,hitter,True,True,exact_variant,1.0,liberato luis,luis liberato,642451.0,2022,1,0,0
2025,에스테반플로리알,에스테반 플로리알,Estevan Florial,한화,hitter,hitter,True,True,exact_variant,1.0,estevan florial,estevan florial,664314.0,2022 | 2023 | 2024,3,0,1
2025,라이언와이스,라이언 와이스,Ryan Weiss,한화,starter,pitcher,True,False,exact_variant,1.0,ryan weiss,"Weiss, Ryan",680802.0,,0,1,0
2025,코디폰세,코디 폰세,Cody Ponce,한화,starter,pitcher,True,False,exact_variant,1.0,cody ponce,"Ponce, Cody",664074.0,,0,1,0
