candidate_key,source_fill_candidate_key,source_fill_scope_label,fit_slot,fit_review_lane,fit_review_order_within_slot,sensitivity_band,player_id,player_name,search_name,team_or_org,position_or_role,risk_adjusted_fit_score_internal,failure_risk_index,failure_risk_review_tier,manual_source_lanes,fit_review_tags,contract_control_bucket,medical_risk_bucket,current_status_description,nationality,nationality_source,person_url,source_url
d30bb7a0c8810b39,d30bb7a0c8810b39,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,5,stable_top25_locked,683079.0,omar martinez,omar martinez,LAA,OF/DH candidate pool,70.072,31.462,tier_4_low_current_risk,korean_news_naver_or_local_search|agent_korea_willingness_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check|public_contract_market_news_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,Active,,,,
b4bd78257bc6865c,b4bd78257bc6865c,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,6,stable_top25_locked,666150.0,dominic fletcher,dominic fletcher,PIT,OF/DH candidate pool,70.066,36.115,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
cf649d8e4ec5946e,cf649d8e4ec5946e,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,7,stable_top25_locked,682927.0,ronny simon,ronny simon,PIT,OF/DH candidate pool,69.638,41.234,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,medical_history_watch,Active,,,,
5c4dec8d0d65fcb5,5c4dec8d0d65fcb5,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,8,stable_top25_locked,680911.0,owen miller,owen miller,CHC,OF/DH candidate pool,69.537,36.701,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
1c46bb90d080fde1,1c46bb90d080fde1,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,9,stable_top25_locked,672359.0,tirso ornelas,tirso ornelas,SD,OF/DH candidate pool,69.364,37.04,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
c7b49f5657f0b336,c7b49f5657f0b336,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,10,stable_top25_locked,663967.0,césar salazar,césar salazar,HOU,OF/DH candidate pool,69.295,36.694,tier_4_low_current_risk,korean_news_naver_or_local_search|agent_korea_willingness_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,Active,,,,
6635d4c486ec1427,6635d4c486ec1427,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,11,stable_top25_locked,647351.0,abraham toro,abraham toro,KC,OF/DH candidate pool,67.541,37.092,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
8f085eb457d894d3,8f085eb457d894d3,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,12,stable_top25_locked,641820.0,trey mancini,trey mancini,LAA,OF/DH candidate pool,66.628,33.037,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,Designated for Assignment,,,,
a0c6dedd9f3938a9,a0c6dedd9f3938a9,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,13,stable_top25_locked,682183.0,drew avans,drew avans,COL,OF/DH candidate pool,66.567,36.674,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
d75fa5d898d2f2a2,d75fa5d898d2f2a2,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,14,stable_top25_locked,682641.0,luis matos,luis matos,MIL,OF/DH candidate pool,66.124,37.574,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
94be28a4a41e8285,94be28a4a41e8285,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,15,stable_top25_locked,628451.0,andy ibáñez,andy ibáñez,NYM,OF/DH candidate pool,65.583,37.93,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
7dfb771f5f6429b6,7dfb771f5f6429b6,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_2_deep_review_candidate_locked,16,stable_top25_locked,670276.0,cal stevenson,cal stevenson,DET,OF/DH candidate pool,65.375,37.28,tier_4_low_current_risk,,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,Active,,,,
